field,#,sea,status,HC type,PL/BAA,operator,HPHT,reservoir,development,group,formation,lithology,recovery,FactPageUrl,norwegian share,rec. oil,rec. gas,rec. ass. liq.,rec. OE,rem. oil,rem. gas,rem. ass. liq.,rem. OE,STOIIP,GIIP,in-place ass. liquid,in-place ass. gas,in-place free gas,in-place OE,in-place liq./OE ratio,in-place free gas/OE ratio,RF oil,RF liq.,RF gas,RF OE,maturity oil,maturity gas,maturity liq.,maturity OE,t10,t25,t50,t75,t90,t95,t100,prod. age,start year,rem. OE prod. years,est. total lifetime,est. rem. lifetime,est. P&A year,peak year,peak OE YPR,peak oil YPR,peak gas YPR,well num,prod. num,inj. num,obs. num,subsea index,lat,lon,depth min,depth mean,depth median,depth max,water depth,depth,p_h,p0,grad_p0,p0 checked,T0,GOR,oil FVF,gas FVF,oil PV0,gas PV0,HCPV0,gas PV0/HC PV0,rec. oil PV,rec. gas PV,rec. HCPV,CO2 SC,H2 SC,CO2 SC/well num,CO2 density RC,injectivity ind.,total score
BRAGE,10,NORTH,producing,oil/gas,BRAGE UNIT,OKEA ASA,False,"Brage produces oil from sandstone of Early Jurassic age in the Statfjord Group, and sandstone of Middle Jurassic age in the Brent Group and the Fensfjord Formation. Oil and gas are also present in Upper Jurassic sandstone in the Sognefjord Formation, there is a small accumulation in the Cook Formation. The reservoirs are at depths of 2000-2300 metres. The reservoir quality varies from poor to excellent.","Brage is a field in the northern part of the North Sea, ten kilometres east of the Oseberg field. The water depth is 140 metres. Brage was discovered in 1980, and the plan for development and operation (PDO) was approved in 1990. The field has been developed with an integrated production, drilling and accommodation facility with a steel jacket. The production started in 1993. A PDO for Brage Sognefjord was approved in 1998. PDO exemptions were granted for the Brent Ness and Bowmore Brent accumulations in 2004 and 2007, and for the Talisker East Brent, Cook and Kim Sognefjord accumulations in 2022, 2023 and 2024, respectively.","Statfjord, Brent, Viking","Statfjord, Brent, Fensfjord, Sognefjord",clastic,The recovery strategy in the Statfjord and Brent Groups and Fensfjord Formation is water injection. The Brent Group had earlier been produced by water alternating gas (WAG) injection. The Sognefjord and Cook Formations are produced by depletion with pressure support from the aquifer.,https://factpages.sodir.no/field/pageview/all/43651,1.0,64.32,5.39,3.14,72.84,1.84,0.63,0.25,2.72,163.25,22.33,11.74,16.63,5.7,213.95,0.82,0.027,0.394,0.385,0.2414,0.3405,0.971,0.883,0.969,0.963,1.4335,3.0134,6.3072,15.5414,27.0754,31.9129,,32.333,1993.75,3.4,37.539,5.206,2031.206,1996.0,6.947,6.607,0.341,97.0,73.0,15.0,9.0,0.0,60.54256417525773,3.047408896907217,841.7,2170.1,2205.0,2513.4,137.0,2205.0,225.5,349.2,157.9,True,79.1,101.9,1.2557384354845518,0.0036380612856475696,205.0,20.74,225.74,0.09,79.02,5.01,84.03,66.53,1.7,0.69,792.0,2361.0,0.0
BREIDABLIKK,11,NORTH,producing,oil,BREIDABLIKK UNIT,Equinor Energy AS,False,"The main reservoirs contain oil in Paleocene sandstone in the Heimdal Formation, at a depth of 1700 metres. The reservoirs have good quality, with little variation in reservoir properties. Above the Heimdal Formation, oil is present in a sand injectite complex in shales of Paleocene and Eocene age in the Lista, Sele and Balder Formations.","Breidablikk is a field in the central part of the North Sea, ten kilometers northeast of the Grane field. The water depth is 130 metres. Breidablikk includes two discoveries, D-structure and F-structure, discovered in 1992 and 2013, respectively. The plan for development and operation (PDO) was approved in 2021, and the production started in 2023. The field is developed with four subsea templates tied-back to the Grane platform.",Rogaland,Heimdal,clastic,"The field is produced by pressure depletion, assisted by gas lift in the production wells.",https://factpages.sodir.no/field/pageview/all/38702206,1.0,33.42,0.0,0.0,33.42,25.32,0.0,0.0,25.32,108.5,2.6,0.0,2.6,0.0,113.7,0.95,0.0,0.308,0.308,0.0,0.2939,0.242,,0.242,0.242,1.2147,,,,,,,2.167,2023.917,,21.559,19.392,2045.392,2025.0,4.448,4.448,0.0,17.0,14.0,0.0,3.0,1.0,59.250057999999996,2.5967710588235295,1670.0,1736.4,1741.8,1753.3,127.8,1741.8,178.3,178.3,101.8,False,64.1,24.0,1.065658894522016,0.005992163559361579,115.62,0.0,115.62,0.0,35.61,0.0,35.61,23.24,0.42,1.37,653.0,1396.0,0.0
BRYNHILD,12,NORTH,shut down,oil,,,True,"Brynhild produced oil from sandstone of Late Jurassic age in the Ula Formation. The reservoir is at a depth of 3300 metres, and the reservoir conditions are close to high pressure, high temperature (HPHT) conditions.","Brynhild is a field in the southern part of the Norwegian sector in the North Sea, 10 kilometres from the UK sector and 55 kilometres northwest of the Ula field. The water depth is 80 metres. Brynhild was discovered in 1992, and the plan for development and operation (PDO) was approved in 2011. The development concept was a subsea template including four wells, tied-in to the Haewene Brim production, storage and offloading vessel (FPSO) located on the Pierce field in the British sector. The production started in 2014.",Vestland,Ula,clastic,The field was produced by pressure support from water injection. Water for injection was supplied from the Pierce field. ,https://factpages.sodir.no/field/pageview/all/21123063,1.0,0.49,0.0,0.0,0.49,0.0,0.0,0.0,0.0,5.7,0.18,0.0,0.18,0.0,6.06,0.94,0.0,0.086,0.086,0.0,0.0809,1.0,,1.0,1.0,0.2406,0.5489,0.9417,1.6644,2.1752,2.3926,2.75,2.75,2015.0,0.0,,0.0,2018.083,2015.0,0.255,0.255,0.0,6.0,2.0,2.0,2.0,1.0,57.4927845,2.3026155,3307.0,3351.8,3346.0,3448.0,81.5,3346.0,341.6,633.0,188.9,True,116.1,31.6,1.1218367038878956,0.00285226595257601,6.39,0.0,6.39,0.0,0.55,0.0,0.55,0.46,0.02,0.08,839.0,792.0,0.0
BYRDING,13,NORTH,producing,oil/gas,090 B,Equinor Energy AS,False,Byrding produces oil and gas from turbiditic sandstone of Late Jurassic age in the Heather Formation. The reservoir is at a depth of 3050 metres. It is structurally complex and has good reservoir quality.,"Byrding is a field in the northern part of the North Sea, four kilometres north of the Fram H-Nord field and 30 kilometres north of the Troll C facility. The water depth is 360 metres. Byrding was discovered in 2005, and the plan for development and operation (PDO) was approved in 2017. The development concept is a two-branch multilateral (MLT) well drilled from the Fram H-Nord template. The production started in 2017.",Viking,Heather,clastic,The field is produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/28975067,1.0,0.94,0.54,0.08,1.56,0.05,0.06,0.0,0.11,9.01,1.87,0.0,1.25,0.62,12.13,0.74,0.051,0.104,0.113,0.2888,0.1286,0.947,0.889,0.951,0.929,0.3716,0.8626,1.8282,3.5025,4.8669,,,5.333,2017.583,9.2,6.596,0.0,2026.0,2018.0,0.209,0.209,0.0,2.0,2.0,0.0,0.0,1.0,61.128242,3.546061,3091.0,3095.5,3095.5,3100.0,361.0,3095.5,316.1,316.0,101.8,True,108.0,138.7,1.3785640406949438,0.004340760671070447,12.42,2.69,15.11,0.18,1.4,0.78,2.18,1.42,0.04,0.71,650.0,2271.0,0.0
BØYLA,14,NORTH,producing,oil/gas,340,Aker BP ASA,False,Bøyla produces oil from sandstone of late Paleocene to early Eocene age in the Hermod Formation. The reservoir is of good quality and lies in a channelised submarine fan system at a depth of 2100 metres.,"Bøyla is a field in the central part of the North Sea, 28 kilometres south of the Alvheim field. The water depth is 120 metres. Bøyla was discovered in 2009, and the plan for development and operation (PDO) was approved in 2012. The field is developed with a subsea template including two horizontal production wells and one water injection well. The field is tied-back to the Alvheim production, storage and offloading vessel (FPSO). The production started in 2015. Test production from the nearby discovery 24/9-12 S (Frosk) started in 2019 and provided the basis for a PDO approved in 2022 for including Frosk in the Bøyla field.",Rogaland,Hermod,clastic,The field is produced with pressure support from water injection. Gas lift is also necessary to support flow in the wells.,https://factpages.sodir.no/field/pageview/all/22492497,1.0,5.82,0.52,0.02,6.36,1.76,0.18,0.02,1.96,17.56,1.49,0.0,1.16,0.33,20.21,0.87,0.016,0.331,0.333,0.349,0.3147,0.698,0.654,0.695,0.692,0.784,2.2997,7.5073,,,,,11.0,2015.083,,21.266,10.266,2036.266,2015.0,0.833,0.761,0.071,12.0,8.0,1.0,3.0,1.0,59.34148916666667,1.8293258333333335,1786.3,1961.3,1957.6,2133.0,119.8,1957.6,200.3,200.3,101.8,False,71.1,66.1,1.1614035055880054,0.005539924840441295,20.39,1.83,22.22,0.08,6.78,0.64,7.42,4.84,0.09,0.4,652.0,1258.0,0.0
COD,15,NORTH,shut down,gas/oil,,,False,The Cod field produced gas and condensate from deep-marine turbiditic sandstone of Paleocene age in the Forties Formation. Cod has a complex structure with several separate reservoirs at a depth of 3000 metres.,"Cod is a field in the southern part of the Norwegian sector in the North Sea, 75 kilometres northwest of the Ekofisk field. The water depth is 75 metres. Cod was discovered in 1968, and the plan for development and operation (PDO) was approved in 1973. The field was developed with a combined drilling, production and accommodation facility. The production started in 1977.",Rogaland,Forties,clastic,The field was produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/43785,1.0,2.88,7.28,0.99,11.15,0.0,0.0,0.0,0.0,4.5,10.8,0.0,1.18,9.62,26.1,0.17,0.0,0.64,0.86,0.6741,0.4272,1.0,1.0,1.0,1.0,2.1093,3.3844,5.7614,10.0876,15.2824,17.5616,20.3333,20.333,1978.0,0.0,,0.0,1998.583,1980.0,1.415,0.572,0.843,7.0,7.0,0.0,0.0,0.0,57.069467428571436,2.4347111428571426,3126.3,3397.9,3199.7,4660.0,70.0,3199.7,326.7,440.3,137.3,True,111.4,261.3,1.7079313887230974,0.003467709581319777,7.69,33.37,41.06,0.81,6.61,22.5,29.11,21.83,0.66,3.12,750.0,1071.0,0.0
DRAUGEN,16,NORWEGIAN,producing,oil/gas,093,OKEA ASA,False,Draugen produces oil from two formations. The main reservoir is in sandstone of Late Jurassic age in the Rogn Formation. The western part of the field also produces from sandstone of Middle Jurassic age in the Garn Formation. The reservoirs are at a depth of 1600 metres. They are relatively homogeneous and have good quality.,"Draugen is a field in the southern part of the Norwegian Sea. The water depth is 250 metres. Draugen was discovered in 1984, and the plan for development and production (PDO) was approved in 1988. The field has been developed with a concrete fixed facility and integrated topside, and has both platform and subsea wells. Stabilised oil is stored in tanks at the base of the facility. Two pipelines connect the facility to a floating loading-buoy. The production started in 1993. A PDO exemption for the subsea tie-back of the discovery 6407/9-9 (Hasselmus) was granted in 2021. The production from Hasselmus started in 2023.","Fangst, Viking","Garn, Rogn",clastic,"The main production mechanism is natural pressure support from the aquifer, with additional water injection from the south.",https://factpages.sodir.no/field/pageview/all/43758,1.0,154.57,3.24,5.78,163.58,7.7,0.9,0.4,9.0,216.12,13.440000000000001,0.31,11.88,1.56,241.75,0.9,0.006,0.715,0.741,0.2411,0.6766,0.95,0.722,0.949,0.945,2.8911,5.1797,8.4766,14.2818,25.4512,,,32.167,1993.833,10.3,48.455,16.288,2042.288,2001.0,12.866,12.593,0.274,29.0,19.0,7.0,3.0,0.684,64.33666320689655,7.756939689655174,1598.0,1685.2,1630.0,2103.4,263.0,1630.0,166.9,166.9,101.8,False,60.4,55.0,1.1269107296191656,0.0062817379300072395,243.55,9.8,253.35,0.04,180.44,2.36,182.8,119.46,2.03,4.12,653.0,3865.0,0.0
DUVA,17,NORTH,producing,gas/oil,636,Vår Energi ASA,False,The reservoir contains oil and gas in turbiditic sandstone of Early Cretaceous age in the Agat Formation. It is at a depth of 2200 metres and has good quality.,"Duva is a field in the northern part of the North Sea, six kilometres northeast of the Gjøa field. The water depth is 350 metres. Duva was discovered in 2016, and the plan for development and operation (PDO) was approved in 2019. Duva is developed with a 4-slot subsea template including three oil production wells and one gas production well tied-back to the Gjøa platform. The production started in 2021.",Cromer Knoll,Agat,clastic,"The field is produced by pressure depletion and gas expansion in the gas cap, followed by gas blowdown.",https://factpages.sodir.no/field/pageview/all/34833026,1.0,3.78,5.05,1.01,9.85,0.28,2.4,0.46,3.14,10.85,6.41,0.34,1.13,5.28,18.73,0.6,0.282,0.348,0.428,0.7878,0.5259,0.926,0.525,0.846,0.681,0.702,1.4832,3.0055,,,,,4.417,2021.667,,13.953,9.537,2035.537,2023.0,1.67,0.971,0.699,4.0,4.0,0.0,0.0,1.0,61.400259250000005,4.0673070000000004,2492.7,2495.2,2495.2,2497.7,359.0,2495.2,255.0,255.0,101.8,True,88.5,104.1,1.2702554104855435,0.004809485619524309,13.78,25.39,39.18,0.65,5.9,20.01,25.91,16.88,0.39,4.22,651.0,3876.0,0.0
DVALIN,18,NORWEGIAN,producing,gas,435,Harbour Energy Norge AS,True,"Dvalin contains gas in Middle Jurassic sandstone in the Ile and Garn Formations. The reservoirs are at a depth of 4500 metres and have high pressure and high temperature (HPHT). The homogeneous shallow marine Garn sandstone has good reservoir quality, while the more heterogeneous and fine-grained Ile sandstone has less favourable reservoir properties.","Dvalin is a field in the central part of the Norwegian Sea, 15 kilometres northwest of the Heidrun field. It consists of three separate deposits: Dvalin East, West and North that were proven in 2010, 2012 and 2021, respectively. The water depth is between 340 and 400 metres. The plan for development and production (PDO) of the East and West deposits was approved in 2017. The development concept is a subsea template with four production wells tied-back to the Heidrun platform. The production started in 2020. A PDO for Dvalin North was approved in 2023, and includes a subsea template with three production wells.",Fangst,"Ile, Garn",clastic,The field is produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/29393934,1.0,0.65,23.59,0.3,24.53,0.5,18.13,0.23,18.86,0.0,38.83,1.09,0.0,38.83,39.92,0.03,0.973,,0.872,0.6075,0.6145,,0.231,0.232,0.231,1.4538,,,,,,,2.75,2020.917,,22.349,19.599,2045.599,2024.0,2.746,0.101,2.645,4.0,4.0,0.0,0.0,1.0,65.42943275,7.140168,4193.0,4262.0,4257.0,4341.0,381.0,4257.0,434.4,635.0,148.9,True,145.7,,0.0,0.0030425263168920714,0.0,118.14,118.14,1.0,0.0,71.77,71.77,55.48,2.04,13.87,773.0,8413.0,0.0
EDDA,19,NORTH,shut down,oil,018,ConocoPhillips Skandinavia AS,False,"Edda produced oil from Maastrichtian and lower Paleocene chalk. The main reservoir is in the Upper Cretaceous Tor Formation, at a depth of 3100 metres.","Edda is a field in the southern part of the Norwegian sector in the North Sea, 12 kilometres southwest of the Ekofisk field. The water depth is 70 metres. Edda was discovered in 1972, and the plan for development and operation (PDO) was approved in 1975. The field was developed with a manned wellhead and production facility and started production in 1979.",Shetland,Tor,carbonate,"The field was produced with pressure depletion. Starting in 1988, gas from the Tommeliten Gamma field was transported to Edda and used for gas lift in the wells.",https://factpages.sodir.no/field/pageview/all/43541,1.0,4.82,1.98,0.4,7.19,0.0,0.0,0.0,0.0,16.3,5.0,0.0,5.0,0.0,26.3,0.62,0.0,0.296,0.32,0.396,0.2734,1.0,1.0,1.0,1.0,0.411,1.0836,2.8202,8.5091,13.6061,15.6154,18.0833,18.083,1980.0,0.0,,0.0,1998.583,1980.0,1.765,1.345,0.42,7.0,7.0,0.0,0.0,0.0,56.464702,3.104443714285714,3287.4,3332.4,3343.4,3385.8,70.0,3343.4,341.4,495.0,147.8,True,116.0,306.7,1.8329946568481135,0.0032669319977120348,29.88,0.0,29.88,0.0,9.57,0.0,9.57,7.38,0.24,1.05,772.0,345.0,0.0
EDVARD GRIEG,20,NORTH,producing,oil,338,Aker BP ASA,False,"Edvard Grieg produces undersaturated oil from alluvial, aeolian and shallow marine sandstone and conglomerate of Late Triassic to Early Cretaceous age. The reservoir is at a depth of 1900 metres. The eservoir quality varies from moderate to very good in marine and aeolian sandstone, while the quality is poorer in alluvial sandstone and conglomerate. Oil is also proven in the underlying basement.","Edvard Grieg is a field in the Utsira High area in the central North Sea, 35 kilometres south of the Grane and Balder fields. The water depth is 110 metres. Edvard Grieg was discovered in 2007, and the plan for development and operation (PDO) was approved in 2012. The field is developed with a fixed installation with a steel jacket and full process facility, and it utilises a jack-up rig for drilling and completion of wells. The production started in 2015. Since 2022, Edvard Grieg receives power from shore through the area solution for the Utsira High, and is therefore producing with very low CO2 emissions. The Solveig field is tied-back to Edvard Grieg. The Troldhaugen discovery is temporarily tied-back to Edvard Grieg for test production.",,,clastic,The field is produced by pressure support from water injection.,https://factpages.sodir.no/field/pageview/all/21675433,1.0,54.37,5.1,2.87,62.34,11.13,1.13,0.68,12.94,97.9,12.24,0.0,12.24,0.0,122.38,0.8,0.0,0.555,0.585,0.4167,0.5094,0.795,0.778,0.794,0.792,1.4758,3.0613,5.7097,8.9523,,,,10.167,2015.917,2.7,27.127,16.96,2042.96,2021.0,6.462,5.97,0.491,24.0,18.0,4.0,2.0,0.0,58.842735041666664,2.2483504583333334,1857.8,2014.4,1884.4,2972.8,109.0,1884.4,192.9,192.9,101.8,False,68.7,125.0,1.3043887668157597,0.005677272696234592,127.7,0.0,127.7,0.0,74.66,0.0,74.66,48.74,0.92,2.03,653.0,2277.0,0.0
EIRIN,21,NORTH,producing,gas,048 E,Equinor Energy AS,False,The reservoirs contain gas in the Skagerrak Formation of Middle to Late Triassic age and in the Hugin Formation of Middle Jurassic age. The reservoirs are at depths of 3880 to 3950 metres and have varying properties.,"Eirin is a field in the central North Sea, ten kilometres northwest of the Gina Krog field. The water depth is 120 metres. Eirin was discovered in 1978, and the plan for development and operation (PDO) was approved in January 2024. The development concept includes a subsea template with two wells tied-back to the Gina Krog platform.","Vestland, Hegre","Hugin, Skagerrak ",clastic,The field is produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/42002492,1.0,0.94,2.76,0.34,4.04,0.94,2.76,0.34,4.04,0.0,5.3,1.66,0.0,5.3,6.96,0.24,0.761,,0.772,0.5208,0.5805,,0.0,0.0,0.0,,,,,,,,,,,8.0,8.0,2034.0,,,,,1.0,0.0,0.0,0.0,1.0,58.643539,1.604578,,,,,120.0,3915.0,,498.4,127.0,True,134.6,,0.0,0.0034162921868257637,0.0,18.11,18.11,1.0,0.0,9.43,9.43,6.83,0.23,6.83,724.0,,0.0
EKOFISK,22,NORTH,producing,oil,018,ConocoPhillips Skandinavia AS,False,"Ekofisk produces oil from naturally fractured chalk of Late Cretaceous age in the Tor Formation and early Paleocene age in the Ekofisk Formation. The reservoir rock has high porosity, but low permeability. The reservoir has an oil column of more than 300 metres and is at a depth of 3000 metres.","Ekofisk is a field in the southern part of the Norwegian sector in the North Sea. The water depth is 70 metres. Ekofisk was discovered in 1969, and the initial plan for development and operation (PDO) was approved in 1972. Test production was initiated in 1971 and ordinary production started in 1972. The production was initially routed to tankships until a concrete storage tank was installed in 1973. Since then, the field has been further developed with many facilities, including facilities for associated fields and export pipelines. Several of the initial facilities have already been removed or are awaiting decommissioning. The initial field development started with three production platforms: Ekofisk A, Ekofisk B and Ekofisk C. Wellhead platform Ekofisk X and process platform Ekofisk J were installed in 1996 and 1998, respectively, as part of the Ekofisk II project. In 2005, wellhead platform Ekofisk M was installed as part of the Ekofisk Growth Project. A plan for water injection at Ekofisk was approved in 1983. Ekofisk K, which is the main injection facility, started water injection in 1987 and is still in operation. There had also been water injection at Ekofisk W from 1989 until 2009, when Ekofisk W was shut down and replaced by a subsea template, Ekofisk VA. A PDO for the development of Ekofisk South was approved in 2011. The project included two new installations in the southern part of the field: production platform Ekofisk Z and a subsea template for water injection, Ekofisk VB. Injection from Ekofisk VB and production from Ekofisk Z started in 2013. The accommodation facilities Ekofisk H and Ekofisk Q were replaced by Ekofisk L in 2014. An amended PDO for an additional water injection template, Ekofisk VC, was approved in 2017.",Shetland,"Tor, Ekofisk",carbonate,"Ekofisk was originally produced by pressure depletion and had an expected recovery factor of 17 per cent. Since then, comprehensive water injection has contributed to a substantial increase in oil recovery. Large-scale water injection started in 1987, and in subsequent years, the area for water injection has been extended in several phases. Experience has proven that water displaces the oil much more effectively than anticipated, and the expected final recovery factor for Ekofisk is now estimated to be over 50 per cent. In addition to the water injection, compaction of the soft chalk provides extra force to drainage of the field. The reservoir compaction has resulted in about 10 metres subsidence of the seabed, especially in the central part of the field. It is expected that the subsidence will continue, but at a much lower rate.",https://factpages.sodir.no/field/pageview/all/43506,1.0,526.59,151.97,29.47,708.03,19.23,0.93,0.59,20.75,1069.1,286.0,0.0,286.0,0.0,1641.1,0.65,0.0,0.493,0.52,0.5314,0.4314,0.963,0.994,0.964,0.971,7.122,13.0944,25.1843,34.8466,45.2127,51.0932,,54.583,1971.5,4.5,64.024,9.441,2035.441,2002.0,20.581,17.838,2.743,420.0,313.0,107.0,0.0,0.0,56.54938623333333,3.21650040952381,1440.0,3216.3,3239.6,3695.9,74.7,3169.9,330.8,491.9,154.9,True,131.1,267.5,1.7442951385129488,0.0034133851442053097,1864.83,0.0,1864.83,0.0,969.93,0.0,969.93,707.24,23.14,1.68,729.0,1512.0,0.0
ELDFISK,23,NORTH,producing,oil,018,ConocoPhillips Skandinavia AS,False,"Eldfisk produces oil from chalk of Late Cretaceous and early Paleocene age in the Hod, Tor and Ekofisk Formations. The reservoir rock has high porosity, but low permeability. Natural fracturing allows the reservoir fluids to flow more easily. The reservoirs are at depths of 2700-2900 metres.","Eldfisk is a field in the southern part of the Norwegian sector in the North Sea, 10 kilometres south of the Ekofisk field. The water depth is 70 metres. Eldfisk was discovered in 1970, and the plan for development and operation (PDO) was approved in 1975. The field comprises three structures: Alpha, Bravo and Eldfisk East. The initial development consisted of three facilities: Eldfisk B (a combined drilling, wellhead and process facility), and Eldfisk A and Eldfisk FTP (wellhead and process facilities). The production started in 1979. A PDO for water injection was approved in 1997, and the injection facility Eldfisk E was installed in 1999. This facility also provides some the water to Ekofisk K for injection on the Ekofisk field. A PDO for Eldfisk II was approved in 2011, and included a new integrated facility, Eldfisk S, connected by bridge to Eldfisk E. The production from Eldfisk S started in 2015. This facility replaces several functions of Eldfisk A and Eldfisk FTP. Eldfisk A is converted into a wellhead platform and Eldfisk FTP is used as bridge-support facility. The Embla field, located south of Eldfisk, is tied to Eldfisk S. An amended PDO for the subsea development of the northern part of the Bravo structure, Eldfisk North, was approved in 2022.",Shetland,"Hod, Ekofisk, Tor",carbonate,"Eldfisk was originally produced by pressure depletion. In 1999, water injection was implemented through horizontal injection wells. Pressure depletion and the water weakening effect have caused reservoir compaction, which in turn has resulted in several metres of seabed subsidence. The Eldfisk II project extends waterflooding on the field.",https://factpages.sodir.no/field/pageview/all/43527,1.0,154.17,47.3,10.15,211.61,23.37,3.92,1.04,28.33,450.2,118.9,0.0,118.9,0.0,688.0,0.65,0.0,0.342,0.365,0.3978,0.3076,0.848,0.917,0.851,0.866,3.2586,9.2779,20.6281,37.4139,,,,46.333,1979.667,11.2,68.914,22.58,2048.58,1980.0,7.666,6.17,1.496,180.0,156.0,24.0,0.0,0.051,56.39270370555555,3.246738788888889,2308.0,2982.9,2972.0,4367.2,71.5,2972.0,303.6,473.0,158.8,True,104.0,264.1,1.7079379672936983,0.003247242213074167,768.91,0.0,768.91,0.0,280.64,0.0,280.64,222.37,6.87,1.24,792.0,697.0,0.0
EMBLA,24,NORTH,producing,oil,018,ConocoPhillips Skandinavia AS,True,"Embla produces oil and gas from segmented sandstone and conglomerate of Devonian and Permian age. The reservoir is at a depth of more than 4000 metres and has high pressure and high temperature (HPHT). It has a complex, highly faulted structure.","Embla is a field in the southern part of the Norwegian sector in the North Sea, south of the Eldfisk field. The water depth is 70 metres. Already in 1974, a well tested oil on Embla, but it was not until 1988 that the field was discovered. The plan for development and operation (PDO) was approved in 1990. The field has been developed with an unmanned wellhead facility, which is remotely controlled from Eldfisk. Production started in 1993. In 1995, an amended PDO for Embla was approved.",,,clastic,The field is produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/43534,1.0,12.54,5.8,1.25,19.6,0.19,0.28,0.06,0.51,48.66,17.34,0.0,17.34,0.0,83.34,0.58,0.0,0.258,0.283,0.3345,0.2352,0.985,0.952,0.982,0.974,1.1205,2.785,7.2486,16.7148,26.255,30.5841,,32.5,1993.417,1.2,36.003,3.503,2029.503,1994.0,1.94,1.512,0.428,7.0,7.0,0.0,0.0,0.0,56.33324928571428,3.248257,4389.2,4535.3,4518.4,4684.0,70.8,4518.4,461.0,865.0,191.2,True,154.2,356.4,2.001073587692302,0.002644538019814064,97.37,0.0,97.37,0.0,27.6,0.0,27.6,23.32,0.97,3.33,845.0,1155.0,0.0
ENOCH,25,NORTH,producing,oil,ENOCH UNIT,Bridge Petroleum 3 Limited,False,Enoch produces oil from Forties sandstone of Paleocene age. The reservoir is at a depth of 2100 metres and has variable quality.,"Enoch is a field in the central part of the North Sea on the border to the British sector, ten kilometres northwest of the Gina Krog field. The Norwegian share of the field is 20 per cent. Enoch was proven in 1985, and the plan for development and operation (PDO) was approved in 2005. The field has been developed with one horizontal production well tied to the British Brae field. The production started in 2007.",Rogaland,Forties,clastic,The field is produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/3437659,0.2,0.37,0.0,0.0,0.37,0.01,0.0,0.0,0.01,1.53,0.0,0.0,0.0,0.0,1.53,1.0,0.0,0.242,0.242,,0.2418,0.973,,0.973,0.973,0.4184,1.1267,2.5385,5.2562,9.7508,12.3479,,13.667,2007.417,2.0,15.341,1.674,2027.674,2009.0,0.072,0.072,0.0,6.0,1.0,0.0,0.0,1.0,58.641258,1.552464,2275.0,2275.0,2275.0,2275.0,120.0,2083.3,232.6,217.0,103.7,True,73.9,103.0,1.2536316574065003,0.005211066452896884,1.92,0.0,1.92,0.0,0.46,0.0,0.46,0.31,0.01,0.26,667.0,,0.0
FENJA,26,NORWEGIAN,producing,oil/gas,586,Vår Energi ASA,False,"The reservoirs contain oil and gas in sandstone of Late Jurassic age in the Melke Formation, and oil in Upper Jurassic sandstone in the Rogn Formation. They are in a fan system at a depth of 3200-3500 metres and have variable reservoir properties.","Fenja is a field in the Norwegian Sea, 35 kilometres southwest of the Njord field. The water depth is 325 metres. The field also includes the discovery 6406/12-3 A (Bue). Fenja was discovered in 2014, and the plan for development and operation (PDO) was approved in 2018. The field is developed with two subsea templates with a total of six wells, tied-back to the Njord A facility. The production started in April 2023.",Viking,"Melke, Rogn",clastic,The field is produced by pressure support from water and gas injection. Produced gas is reinjected into the reservoir. The reinjected gas will be produced at the end of the oil production period.,https://factpages.sodir.no/field/pageview/all/31164879,1.0,5.69,2.15,0.72,8.57,3.14,2.0,0.68,5.82,14.8,3.65,0.18,2.8,0.85,21.43,0.7,0.04,0.384,0.428,0.589,0.3999,0.448,0.07,0.404,0.321,0.8317,2.0168,,,,,,2.667,2023.333,,16.439,13.773,2039.773,2024.0,1.16,1.109,0.051,4.0,2.0,2.0,0.0,1.0,64.03027374999999,6.749641500000001,3419.7,3534.2,3440.2,3836.7,321.8,3440.2,351.2,351.2,101.8,False,119.2,189.2,1.5234814717106149,0.0041550934219772954,22.55,3.53,26.08,0.14,9.65,2.08,11.73,7.62,0.22,1.9,649.0,3108.0,0.0
FENRIS,27,NORTH,approved,gas,146,Aker BP ASA,True,The reservoir contains gas and condensate in sandstone of Jurassic age in the Ula and Farsund Formations and has high pressure and high temperature (HPHT). It is at a depth of about 5000 metres and has varying quality.,"Fenris is located in the southern part of the Norwegian sector in the North Sea, 20 kilometres north of the Ekofisk field and 50 kilometres north of the Valhall field. The water depth is 70 metres. Fenris was discovered in 2012, and the plan for development and operation (PDO) was approved in 2023. The development concept includes an unmanned wellhead platform tied-back to the Valhall field.","Vestland, Tyne","Ula, Farsund",clastic,The field will be produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/42002478,1.0,10.07,13.99,1.29,25.35,10.07,13.99,1.29,25.35,0.0,32.61,23.91,0.0,32.61,56.52,0.42,0.577,,0.475,0.429,0.4485,,0.0,0.0,0.0,,,,,,,,,2028.0,,16.6,16.6,2044.6,,,,,5.0,0.0,0.0,0.0,0.0,56.7014588,3.1349128,1189.0,4401.0,5237.0,5400.0,68.0,5237.0,534.1,971.6,185.3,True,177.5,,0.0,0.002604776394063183,0.0,84.94,84.94,1.0,0.0,36.44,36.44,30.53,1.34,6.11,838.0,,0.0
